metric,ebno_db,rank,receiver,value
ber,0.0,1,perfect_csi_lmmse,0.1580116582471271
ber,0.0,2,upair5g_lmmse,0.1630279925442481
ber,0.0,3,paper_cfgres_phaseaware_ls_lmmse,0.172082080397495
ber,0.0,4,baseline_ls_lmmse,0.1811328858368156
ber,0.0,5,baseline_ddcpe_ls_lmmse,0.1812130610148112
ber,1.0,1,perfect_csi_lmmse,0.1338757137919581
ber,1.0,2,upair5g_lmmse,0.1397651849791061
ber,1.0,3,paper_cfgres_phaseaware_ls_lmmse,0.1497848126315331
ber,1.0,4,baseline_ls_lmmse,0.1579419808794361
ber,1.0,5,baseline_ddcpe_ls_lmmse,0.1580301477003467
ber,2.0,1,perfect_csi_lmmse,0.1022923639578412
ber,2.0,2,upair5g_lmmse,0.1117638358774111
ber,2.0,3,paper_cfgres_phaseaware_ls_lmmse,0.1251899068669755
ber,2.0,4,baseline_ls_lmmse,0.1324755276820456
ber,2.0,5,baseline_ddcpe_ls_lmmse,0.1325964816780977
ber,3.0,1,perfect_csi_lmmse,0.0424313138621722
ber,3.0,2,upair5g_lmmse,0.063156246214874
ber,3.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0923993901688923
ber,3.0,4,baseline_ls_lmmse,0.0993908209394114
ber,3.0,5,baseline_ddcpe_ls_lmmse,0.0995941975320032
ber,4.0,1,perfect_csi_lmmse,0.0052315541940142
ber,4.0,2,upair5g_lmmse,0.0104503261950588
ber,4.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0335868051809858
ber,4.0,4,baseline_ls_lmmse,0.0376870502797208
ber,4.0,5,baseline_ddcpe_ls_lmmse,0.0379858978034914
ber,5.0,1,perfect_csi_lmmse,0.0005081827326338
ber,5.0,2,upair5g_lmmse,0.0011202568231627
ber,5.0,3,baseline_ls_lmmse,0.005382641341335
ber,5.0,4,baseline_ddcpe_ls_lmmse,0.0054442235665727
ber,5.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0059951294300168
ber,6.0,1,perfect_csi_lmmse,4.542693444448146e-05
ber,6.0,2,upair5g_lmmse,0.000104985728882
ber,6.0,3,baseline_ls_lmmse,0.0006001919156476
ber,6.0,4,baseline_ddcpe_ls_lmmse,0.0006055876181393
ber,6.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0008709911069278
ber,7.0,1,perfect_csi_lmmse,3.847964974336846e-06
ber,7.0,2,upair5g_lmmse,8.557193963102593e-06
ber,7.0,3,baseline_ls_lmmse,5.6911808575770654e-05
ber,7.0,4,baseline_ddcpe_ls_lmmse,5.797452704851017e-05
ber,7.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0001272027806718
ber,8.0,1,perfect_csi_lmmse,2.289927282998728e-06
ber,8.0,2,upair5g_lmmse,3.2047892725744915e-06
ber,8.0,3,baseline_ls_lmmse,6.163767141889232e-06
ber,8.0,4,baseline_ddcpe_ls_lmmse,6.2450882076293e-06
ber,8.0,5,paper_cfgres_phaseaware_ls_lmmse,1.9154807393865063e-05
ber,9.0,1,upair5g_lmmse,0.0
ber,9.0,2,perfect_csi_lmmse,0.0
ber,9.0,3,baseline_ls_lmmse,1.2530836948128633e-06
ber,9.0,4,baseline_ddcpe_ls_lmmse,1.2845031974851625e-06
ber,9.0,5,paper_cfgres_phaseaware_ls_lmmse,4.655631013618884e-06
ber,10.0,1,baseline_ls_lmmse,0.0
ber,10.0,2,baseline_ddcpe_ls_lmmse,0.0
ber,10.0,3,upair5g_lmmse,0.0
ber,10.0,4,perfect_csi_lmmse,0.0
ber,10.0,5,paper_cfgres_phaseaware_ls_lmmse,1.1902446894682655e-06
ber,11.0,1,baseline_ls_lmmse,0.0
ber,11.0,2,baseline_ddcpe_ls_lmmse,0.0
ber,11.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0
ber,11.0,4,upair5g_lmmse,0.0
ber,11.0,5,perfect_csi_lmmse,0.0
ber,12.0,1,baseline_ls_lmmse,0.0
ber,12.0,2,baseline_ddcpe_ls_lmmse,0.0
ber,12.0,3,upair5g_lmmse,0.0
ber,12.0,4,perfect_csi_lmmse,0.0
ber,12.0,5,paper_cfgres_phaseaware_ls_lmmse,5.304351333499879e-07
ber,13.0,1,baseline_ls_lmmse,0.0
ber,13.0,2,baseline_ddcpe_ls_lmmse,0.0
ber,13.0,3,upair5g_lmmse,0.0
ber,13.0,4,perfect_csi_lmmse,0.0
ber,13.0,5,paper_cfgres_phaseaware_ls_lmmse,9.79549200959908e-08
ber,14.0,1,baseline_ls_lmmse,0.0
ber,14.0,2,baseline_ddcpe_ls_lmmse,0.0
ber,14.0,3,upair5g_lmmse,0.0
ber,14.0,4,perfect_csi_lmmse,0.0
ber,14.0,5,paper_cfgres_phaseaware_ls_lmmse,4.2508738909580914e-08
bler,0.0,1,baseline_ls_lmmse,1.0
bler,0.0,2,baseline_ddcpe_ls_lmmse,1.0
bler,0.0,3,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,0.0,4,upair5g_lmmse,1.0
bler,0.0,5,perfect_csi_lmmse,1.0
bler,1.0,1,baseline_ls_lmmse,1.0
bler,1.0,2,baseline_ddcpe_ls_lmmse,1.0
bler,1.0,3,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,1.0,4,upair5g_lmmse,1.0
bler,1.0,5,perfect_csi_lmmse,1.0
bler,2.0,1,baseline_ls_lmmse,1.0
bler,2.0,2,baseline_ddcpe_ls_lmmse,1.0
bler,2.0,3,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,2.0,4,upair5g_lmmse,1.0
bler,2.0,5,perfect_csi_lmmse,1.0
bler,3.0,1,perfect_csi_lmmse,0.8357340494791666
bler,3.0,2,upair5g_lmmse,0.9806315104166666
bler,3.0,3,baseline_ls_lmmse,1.0
bler,3.0,4,baseline_ddcpe_ls_lmmse,1.0
bler,3.0,5,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,4.0,1,perfect_csi_lmmse,0.1383463541666666
bler,4.0,2,upair5g_lmmse,0.2568766276041667
bler,4.0,3,paper_cfgres_phaseaware_ls_lmmse,0.647216796875
bler,4.0,4,baseline_ls_lmmse,0.7464192708333334
bler,4.0,5,baseline_ddcpe_ls_lmmse,0.7505696614583334
bler,5.0,1,perfect_csi_lmmse,0.0142822265625
bler,5.0,2,upair5g_lmmse,0.0277506510416666
bler,5.0,3,baseline_ls_lmmse,0.1318766276041666
bler,5.0,4,baseline_ddcpe_ls_lmmse,0.133544921875
bler,5.0,5,paper_cfgres_phaseaware_ls_lmmse,0.1391194661458333
bler,6.0,1,perfect_csi_lmmse,0.001402817574021
bler,6.0,2,upair5g_lmmse,0.0029847182425978
bler,6.0,3,baseline_ls_lmmse,0.0152220630372492
bler,6.0,4,baseline_ddcpe_ls_lmmse,0.0154309933142311
bler,6.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0220272206303724
bler,7.0,1,perfect_csi_lmmse,0.0001017252604166
bler,7.0,2,upair5g_lmmse,0.000244140625
bler,7.0,3,baseline_ddcpe_ls_lmmse,0.0016276041666666
bler,7.0,4,baseline_ls_lmmse,0.0016377766927083
bler,7.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0034993489583333
bler,8.0,1,upair5g_lmmse,4.069010416666666e-05
bler,8.0,2,perfect_csi_lmmse,4.069010416666666e-05
bler,8.0,3,baseline_ls_lmmse,0.0001627604166666
bler,8.0,4,baseline_ddcpe_ls_lmmse,0.0001627604166666
bler,8.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0006306966145833
bler,9.0,1,upair5g_lmmse,0.0
bler,9.0,2,perfect_csi_lmmse,0.0
bler,9.0,3,baseline_ls_lmmse,3.0517578125e-05
bler,9.0,4,baseline_ddcpe_ls_lmmse,3.0517578125e-05
bler,9.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0001017252604166
bler,10.0,1,baseline_ls_lmmse,0.0
bler,10.0,2,baseline_ddcpe_ls_lmmse,0.0
bler,10.0,3,upair5g_lmmse,0.0
bler,10.0,4,perfect_csi_lmmse,0.0
bler,10.0,5,paper_cfgres_phaseaware_ls_lmmse,3.0517578125e-05
bler,11.0,1,baseline_ls_lmmse,0.0
bler,11.0,2,baseline_ddcpe_ls_lmmse,0.0
bler,11.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0
bler,11.0,4,upair5g_lmmse,0.0
bler,11.0,5,perfect_csi_lmmse,0.0
bler,12.0,1,baseline_ls_lmmse,0.0
bler,12.0,2,baseline_ddcpe_ls_lmmse,0.0
bler,12.0,3,upair5g_lmmse,0.0
bler,12.0,4,perfect_csi_lmmse,0.0
bler,12.0,5,paper_cfgres_phaseaware_ls_lmmse,1.0172526041666666e-05
bler,13.0,1,baseline_ls_lmmse,0.0
bler,13.0,2,baseline_ddcpe_ls_lmmse,0.0
bler,13.0,3,upair5g_lmmse,0.0
bler,13.0,4,perfect_csi_lmmse,0.0
bler,13.0,5,paper_cfgres_phaseaware_ls_lmmse,1.0172526041666666e-05
bler,14.0,1,baseline_ls_lmmse,0.0
bler,14.0,2,baseline_ddcpe_ls_lmmse,0.0
bler,14.0,3,upair5g_lmmse,0.0
bler,14.0,4,perfect_csi_lmmse,0.0
bler,14.0,5,paper_cfgres_phaseaware_ls_lmmse,1.0172526041666666e-05
nmse,0.0,1,perfect_csi_lmmse,0.0
nmse,0.0,2,upair5g_lmmse,0.0178433853507158
nmse,0.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0708289893518667
nmse,0.0,4,baseline_ls_lmmse,0.1292304268572479
nmse,0.0,5,baseline_ddcpe_ls_lmmse,0.1294943587272428
nmse,1.0,1,perfect_csi_lmmse,0.0
nmse,1.0,2,upair5g_lmmse,0.0140815500235476
nmse,1.0,3,paper_cfgres_phaseaware_ls_lmmse,0.059171654342208
nmse,1.0,4,baseline_ls_lmmse,0.1035286320548038
nmse,1.0,5,baseline_ddcpe_ls_lmmse,0.1037641872826498
nmse,2.0,1,perfect_csi_lmmse,0.0
nmse,2.0,2,upair5g_lmmse,0.0112591733413864
nmse,2.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0499135127320187
nmse,2.0,4,baseline_ls_lmmse,0.0829742425703443
nmse,2.0,5,baseline_ddcpe_ls_lmmse,0.0831709351914469
nmse,3.0,1,perfect_csi_lmmse,0.0
nmse,3.0,2,upair5g_lmmse,0.0090930929763999
nmse,3.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0425364590046228
nmse,3.0,4,baseline_ls_lmmse,0.0667159709264524
nmse,3.0,5,baseline_ddcpe_ls_lmmse,0.0668785885209217
nmse,4.0,1,perfect_csi_lmmse,0.0
nmse,4.0,2,upair5g_lmmse,0.0074354995940666
nmse,4.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0366386468376731
nmse,4.0,4,baseline_ls_lmmse,0.0537902838550508
nmse,4.0,5,baseline_ddcpe_ls_lmmse,0.0539189635019283
nmse,5.0,1,perfect_csi_lmmse,0.0
nmse,5.0,2,upair5g_lmmse,0.0061296909661905
nmse,5.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0319397273706272
nmse,5.0,4,baseline_ls_lmmse,0.0435094334097811
nmse,5.0,5,baseline_ddcpe_ls_lmmse,0.0436068305571097
nmse,6.0,1,perfect_csi_lmmse,0.0
nmse,6.0,2,upair5g_lmmse,0.0050978461096335
nmse,6.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0282456693066054
nmse,6.0,4,baseline_ls_lmmse,0.0353961832778672
nmse,6.0,5,baseline_ddcpe_ls_lmmse,0.0354636004541528
nmse,7.0,1,perfect_csi_lmmse,0.0
nmse,7.0,2,upair5g_lmmse,0.0042641534826088
nmse,7.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0252435786806017
nmse,7.0,4,baseline_ls_lmmse,0.0288874352645507
nmse,7.0,5,baseline_ddcpe_ls_lmmse,0.0289341294883342
nmse,8.0,1,perfect_csi_lmmse,0.0
nmse,8.0,2,upair5g_lmmse,0.0035942268802955
nmse,8.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0228983406286715
nmse,8.0,4,baseline_ls_lmmse,0.0237087146124395
nmse,8.0,5,baseline_ddcpe_ls_lmmse,0.0237383444055012
nmse,9.0,1,perfect_csi_lmmse,0.0
nmse,9.0,2,upair5g_lmmse,0.0030558349424154
nmse,9.0,3,baseline_ls_lmmse,0.0196290315307123
nmse,9.0,4,baseline_ddcpe_ls_lmmse,0.0196455207842518
nmse,9.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0210252689248591
nmse,10.0,1,perfect_csi_lmmse,0.0
nmse,10.0,2,upair5g_lmmse,0.0026162963520164
nmse,10.0,3,baseline_ls_lmmse,0.0163818103283119
nmse,10.0,4,baseline_ddcpe_ls_lmmse,0.0163876632595929
nmse,10.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0196069293615437
nmse,11.0,1,perfect_csi_lmmse,0.0
nmse,11.0,2,upair5g_lmmse,0.0022527152070779
nmse,11.0,3,baseline_ddcpe_ls_lmmse,0.0137878877494586
nmse,11.0,4,baseline_ls_lmmse,0.0137889400757558
nmse,11.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0184188297171203
nmse,12.0,1,perfect_csi_lmmse,0.0
nmse,12.0,2,upair5g_lmmse,0.0019594396595721
nmse,12.0,3,baseline_ddcpe_ls_lmmse,0.0117461838217423
nmse,12.0,4,baseline_ls_lmmse,0.0117527303746101
nmse,12.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0176560128520577
nmse,13.0,1,perfect_csi_lmmse,0.0
nmse,13.0,2,upair5g_lmmse,0.0017111892460661
nmse,13.0,3,baseline_ddcpe_ls_lmmse,0.0101078962552492
nmse,13.0,4,baseline_ls_lmmse,0.0101178125069054
nmse,13.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0169955473038498
nmse,14.0,1,perfect_csi_lmmse,0.0
nmse,14.0,2,upair5g_lmmse,0.001509302451609
nmse,14.0,3,baseline_ddcpe_ls_lmmse,0.0088224226747115
nmse,14.0,4,baseline_ls_lmmse,0.008835271276439
nmse,14.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0166463001178271
